date,season,holiday,weekday,workingday,weather,rentalcount
6/19/2011,2,0,0,0,2,4744
6/20/2011,2,0,1,1,2,4010
6/21/2011,3,0,2,1,2,4835
6/22/2011,3,0,3,1,1,4507
6/23/2011,3,0,4,1,2,4790
6/24/2011,3,0,5,1,1,4991
6/25/2011,3,0,6,0,1,5202
6/26/2011,3,0,0,0,1,5305
6/27/2011,3,0,1,1,2,4708
6/28/2011,3,0,2,1,1,4648
6/29/2011,3,0,3,1,1,5225
6/30/2011,3,0,4,1,1,5515
7/1/2011,3,0,5,1,1,5362
7/2/2011,3,0,6,0,1,5119
7/3/2011,3,0,0,0,2,4649
7/4/2011,3,1,1,0,2,6043
7/5/2011,3,0,2,1,1,4665
7/6/2011,3,0,3,1,1,4629
7/7/2011,3,0,4,1,1,4592
7/8/2011,3,0,5,1,2,4040
7/9/2011,3,0,6,0,1,5336
7/10/2011,3,0,0,0,1,4881
7/11/2011,3,0,1,1,1,4086
7/12/2011,3,0,2,1,1,4258
7/13/2011,3,0,3,1,1,4342
7/14/2011,3,0,4,1,1,5084
7/15/2011,3,0,5,1,1,5538
7/16/2011,3,0,6,0,1,5923
7/17/2011,3,0,0,0,1,5302
7/18/2011,3,0,1,1,1,4458
7/19/2011,3,0,2,1,1,4541
7/20/2011,3,0,3,1,1,4332
7/21/2011,3,0,4,1,2,3784
7/22/2011,3,0,5,1,1,3387
7/23/2011,3,0,6,0,1,3285
7/24/2011,3,0,0,0,1,3606
7/25/2011,3,0,1,1,1,3840
7/26/2011,3,0,2,1,1,4590
7/27/2011,3,0,3,1,1,4656
7/28/2011,3,0,4,1,1,4390
7/29/2011,3,0,5,1,1,3846
7/30/2011,3,0,6,0,1,4475
7/31/2011,3,0,0,0,1,4302
8/1/2011,3,0,1,1,1,4266
8/2/2011,3,0,2,1,1,4845
8/3/2011,3,0,3,1,2,3574
8/4/2011,3,0,4,1,2,4576
8/5/2011,3,0,5,1,1,4866
8/6/2011,3,0,6,0,2,4294
8/7/2011,3,0,0,0,1,3785
8/8/2011,3,0,1,1,1,4326
8/9/2011,3,0,2,1,1,4602
8/10/2011,3,0,3,1,1,4780
8/11/2011,3,0,4,1,1,4792
8/12/2011,3,0,5,1,1,4905
8/13/2011,3,0,6,0,2,4150
8/14/2011,3,0,0,0,2,3820
8/15/2011,3,0,1,1,1,4338
8/16/2011,3,0,2,1,1,4725
8/17/2011,3,0,3,1,1,4694
8/18/2011,3,0,4,1,1,3805
8/19/2011,3,0,5,1,2,4153
8/20/2011,3,0,6,0,1,5191
8/21/2011,3,0,0,0,1,3873
8/22/2011,3,0,1,1,1,4758
8/23/2011,3,0,2,1,1,5895
8/24/2011,3,0,3,1,1,5130
8/25/2011,3,0,4,1,2,3542
8/26/2011,3,0,5,1,1,4661
8/27/2011,3,0,6,0,2,1115
8/28/2011,3,0,0,0,1,4334
8/29/2011,3,0,1,1,1,4634
8/30/2011,3,0,2,1,1,5204
8/31/2011,3,0,3,1,1,5058
9/1/2011,3,0,4,1,1,5115
9/2/2011,3,0,5,1,2,4727
9/3/2011,3,0,6,0,1,4484
9/4/2011,3,0,0,0,1,4940
9/5/2011,3,1,1,0,2,3351
9/6/2011,3,0,2,1,3,2710
9/7/2011,3,0,3,1,3,1996
9/8/2011,3,0,4,1,3,1842
9/9/2011,3,0,5,1,2,3544
9/10/2011,3,0,6,0,1,5345
9/11/2011,3,0,0,0,1,5046
9/12/2011,3,0,1,1,1,4713
9/13/2011,3,0,2,1,1,4763
9/14/2011,3,0,3,1,1,4785
9/15/2011,3,0,4,1,2,3659
9/16/2011,3,0,5,1,2,4760
9/17/2011,3,0,6,0,2,4511
9/18/2011,3,0,0,0,1,4274
9/19/2011,3,0,1,1,2,4539
9/20/2011,3,0,2,1,2,3641
9/21/2011,3,0,3,1,2,4352
9/22/2011,3,0,4,1,2,4795
9/23/2011,4,0,5,1,2,2395
9/24/2011,4,0,6,0,2,5423
9/25/2011,4,0,0,0,2,5010
9/26/2011,4,0,1,1,2,4630
9/27/2011,4,0,2,1,2,4120
9/28/2011,4,0,3,1,2,3907
9/29/2011,4,0,4,1,1,4839
9/30/2011,4,0,5,1,1,5202
10/1/2011,4,0,6,0,2,2429
10/2/2011,4,0,0,0,2,2918
10/3/2011,4,0,1,1,2,3570
10/4/2011,4,0,2,1,1,4456
10/5/2011,4,0,3,1,1,4826
10/6/2011,4,0,4,1,1,4765
10/7/2011,4,0,5,1,1,4985
10/8/2011,4,0,6,0,1,5409
10/9/2011,4,0,0,0,1,5511
10/10/2011,4,1,1,0,1,5117
10/11/2011,4,0,2,1,2,4563
10/12/2011,4,0,3,1,3,2416
10/13/2011,4,0,4,1,2,2913
10/14/2011,4,0,5,1,2,3644
10/15/2011,4,0,6,0,1,5217
10/16/2011,4,0,0,0,1,5041
10/17/2011,4,0,1,1,1,4570
10/18/2011,4,0,2,1,2,4748
10/19/2011,4,0,3,1,3,2424
10/20/2011,4,0,4,1,1,4195
10/21/2011,4,0,5,1,1,4304
10/22/2011,4,0,6,0,1,4308
10/23/2011,4,0,0,0,1,4381
10/24/2011,4,0,1,1,1,4187
10/25/2011,4,0,2,1,1,4687
10/26/2011,4,0,3,1,2,3894
10/27/2011,4,0,4,1,2,2659
10/28/2011,4,0,5,1,2,3747
10/29/2011,4,0,6,0,3,627
10/30/2011,4,0,0,0,1,3331
10/31/2011,4,0,1,1,1,3669
11/1/2011,4,0,2,1,1,4068
11/2/2011,4,0,3,1,1,4186
11/3/2011,4,0,4,1,1,3974
11/4/2011,4,0,5,1,2,4046
11/5/2011,4,0,6,0,1,3926
11/6/2011,4,0,0,0,1,3649
11/7/2011,4,0,1,1,1,4035
11/8/2011,4,0,2,1,1,4205
11/9/2011,4,0,3,1,1,4109
11/10/2011,4,0,4,1,2,2933
11/11/2011,4,1,5,0,1,3368
11/12/2011,4,0,6,0,1,4067
11/13/2011,4,0,0,0,1,3717
11/14/2011,4,0,1,1,1,4486
11/15/2011,4,0,2,1,2,4195
11/16/2011,4,0,3,1,3,1817
11/17/2011,4,0,4,1,2,3053
11/18/2011,4,0,5,1,1,3392
11/19/2011,4,0,6,0,1,3663
11/20/2011,4,0,0,0,2,3520
11/21/2011,4,0,1,1,3,2765
11/22/2011,4,0,2,1,3,1607
11/23/2011,4,0,3,1,2,2566
11/24/2011,4,1,4,0,1,1495
11/25/2011,4,0,5,1,1,2792
11/26/2011,4,0,6,0,1,3068
11/27/2011,4,0,0,0,1,3071
11/28/2011,4,0,1,1,1,3867
11/29/2011,4,0,2,1,2,2914
11/30/2011,4,0,3,1,1,3613
12/1/2011,4,0,4,1,1,3727
12/2/2011,4,0,5,1,1,3940
12/3/2011,4,0,6,0,1,3614
12/4/2011,4,0,0,0,1,3485
12/5/2011,4,0,1,1,2,3811
12/6/2011,4,0,2,1,3,2594
12/7/2011,4,0,3,1,3,705
12/8/2011,4,0,4,1,1,3322
12/9/2011,4,0,5,1,1,3620
12/10/2011,4,0,6,0,1,3190
12/11/2011,4,0,0,0,1,2743
12/12/2011,4,0,1,1,1,3310
12/13/2011,4,0,2,1,1,3523
12/14/2011,4,0,3,1,2,3740
12/15/2011,4,0,4,1,2,3709
12/16/2011,4,0,5,1,2,3577
12/17/2011,4,0,6,0,2,2739
12/18/2011,4,0,0,0,1,2431
12/19/2011,4,0,1,1,1,3403
12/20/2011,4,0,2,1,2,3750
12/21/2011,1,0,3,1,2,2660
12/22/2011,1,0,4,1,2,3068
12/23/2011,1,0,5,1,1,2209
12/24/2011,1,0,6,0,1,1011
12/25/2011,1,0,0,0,1,754
12/26/2011,1,1,1,0,1,1317
12/27/2011,1,0,2,1,2,1162
12/28/2011,1,0,3,1,1,2302
12/29/2011,1,0,4,1,1,2423
12/30/2011,1,0,5,1,1,2999
12/31/2011,1,0,6,0,1,2485
1/1/2012,1,0,0,0,1,2294
1/2/2012,1,1,1,0,1,1951
1/3/2012,1,0,2,1,1,2236
1/4/2012,1,0,3,1,2,2368
1/5/2012,1,0,4,1,1,3272
1/6/2012,1,0,5,1,1,4098
1/7/2012,1,0,6,0,1,4521
1/8/2012,1,0,0,0,1,3425
1/9/2012,1,0,1,1,2,2376
1/10/2012,1,0,2,1,1,3598
1/11/2012,1,0,3,1,2,2177
1/12/2012,1,0,4,1,2,4097
1/13/2012,1,0,5,1,1,3214
1/14/2012,1,0,6,0,1,2493
1/15/2012,1,0,0,0,1,2311
1/16/2012,1,1,1,0,1,2298
1/17/2012,1,0,2,1,2,2935
1/18/2012,1,0,3,1,1,3376
1/19/2012,1,0,4,1,1,3292
1/20/2012,1,0,5,1,2,3163
1/21/2012,1,0,6,0,2,1301
1/22/2012,1,0,0,0,2,1977
1/23/2012,1,0,1,1,2,2432
1/24/2012,1,0,2,1,1,4339
1/25/2012,1,0,3,1,1,4270
1/26/2012,1,0,4,1,2,4075
1/27/2012,1,0,5,1,2,3456
1/28/2012,1,0,6,0,1,4023
1/29/2012,1,0,0,0,1,3243
1/30/2012,1,0,1,1,1,3624
1/31/2012,1,0,2,1,1,4509
2/1/2012,1,0,3,1,1,4579
2/2/2012,1,0,4,1,2,3761
2/3/2012,1,0,5,1,1,4151
2/4/2012,1,0,6,0,2,2832
2/5/2012,1,0,0,0,2,2947
2/6/2012,1,0,1,1,1,3784
2/7/2012,1,0,2,1,1,4375
2/8/2012,1,0,3,1,2,2802
2/9/2012,1,0,4,1,1,3830
2/10/2012,1,0,5,1,2,3831
2/11/2012,1,0,6,0,3,2169
2/12/2012,1,0,0,0,1,1529
2/13/2012,1,0,1,1,1,3422
2/14/2012,1,0,2,1,2,3922
2/15/2012,1,0,3,1,1,4169
2/16/2012,1,0,4,1,2,3005
2/17/2012,1,0,5,1,1,4154
2/18/2012,1,0,6,0,1,4318
2/19/2012,1,0,0,0,2,2689
2/20/2012,1,1,1,0,1,3129
2/21/2012,1,0,2,1,1,3777
2/22/2012,1,0,3,1,1,4773
2/23/2012,1,0,4,1,1,5062
2/24/2012,1,0,5,1,2,3487
2/25/2012,1,0,6,0,1,2732
2/26/2012,1,0,0,0,1,3389
2/27/2012,1,0,1,1,1,4322
2/28/2012,1,0,2,1,1,4363
2/29/2012,1,0,3,1,2,1834
3/1/2012,1,0,4,1,1,4990
3/2/2012,1,0,5,1,2,3194
3/3/2012,1,0,6,0,2,4066
3/4/2012,1,0,0,0,1,3423
3/5/2012,1,0,1,1,1,3333
3/6/2012,1,0,2,1,1,3956
3/7/2012,1,0,3,1,1,4916
3/8/2012,1,0,4,1,1,5382
3/9/2012,1,0,5,1,2,4569
3/10/2012,1,0,6,0,1,4118
3/11/2012,1,0,0,0,1,4911
3/12/2012,1,0,1,1,1,5298
3/13/2012,1,0,2,1,1,5847
3/14/2012,1,0,3,1,1,6312
3/15/2012,1,0,4,1,1,6192
3/16/2012,1,0,5,1,2,4378
3/17/2012,1,0,6,0,2,7836
3/18/2012,1,0,0,0,2,5892
3/19/2012,1,0,1,1,1,6153
3/20/2012,1,0,2,1,1,6093
3/21/2012,2,0,3,1,2,6230
3/22/2012,2,0,4,1,1,6871
3/23/2012,2,0,5,1,2,8362
3/24/2012,2,0,6,0,2,3372
3/25/2012,2,0,0,0,2,4996
3/26/2012,2,0,1,1,1,5558
3/27/2012,2,0,2,1,1,5102
3/28/2012,2,0,3,1,1,5698
3/29/2012,2,0,4,1,1,6133
3/30/2012,2,0,5,1,2,5459
3/31/2012,2,0,6,0,2,6235
4/1/2012,2,0,0,0,2,6041
4/2/2012,2,0,1,1,1,5936
4/3/2012,2,0,2,1,1,6772
4/4/2012,2,0,3,1,1,6436
4/5/2012,2,0,4,1,1,6457
4/6/2012,2,0,5,1,1,6460
4/7/2012,2,0,6,0,1,6857
4/8/2012,2,0,0,0,1,5169
4/9/2012,2,0,1,1,1,5585
4/10/2012,2,0,2,1,1,5918
4/11/2012,2,0,3,1,1,4862
4/12/2012,2,0,4,1,1,5409
4/13/2012,2,0,5,1,1,6398
4/14/2012,2,0,6,0,1,7460
4/15/2012,2,0,0,0,1,7132
4/16/2012,2,1,1,0,1,6370
4/17/2012,2,0,2,1,1,6691
4/18/2012,2,0,3,1,2,4367
4/19/2012,2,0,4,1,1,6565
4/20/2012,2,0,5,1,1,7290
4/21/2012,2,0,6,0,1,6624
4/22/2012,2,0,0,0,3,1027
4/23/2012,2,0,1,1,2,3214
4/24/2012,2,0,2,1,1,5633
4/25/2012,2,0,3,1,1,6196
4/26/2012,2,0,4,1,2,5026
4/27/2012,2,0,5,1,1,6233
4/28/2012,2,0,6,0,2,4220
4/29/2012,2,0,0,0,1,6304
4/30/2012,2,0,1,1,2,5572
5/1/2012,2,0,2,1,2,5740
5/2/2012,2,0,3,1,1,6169
5/3/2012,2,0,4,1,2,6421
5/4/2012,2,0,5,1,1,6296
5/5/2012,2,0,6,0,2,6883
5/6/2012,2,0,0,0,2,6359
5/7/2012,2,0,1,1,2,6273
5/8/2012,2,0,2,1,2,5728
5/9/2012,2,0,3,1,2,4717
5/10/2012,2,0,4,1,1,6572
5/11/2012,2,0,5,1,1,7030
5/12/2012,2,0,6,0,1,7429
5/13/2012,2,0,0,0,1,6118
5/14/2012,2,0,1,1,2,2843
5/15/2012,2,0,2,1,2,5115
5/16/2012,2,0,3,1,1,7424
5/17/2012,2,0,4,1,1,7384
5/18/2012,2,0,5,1,1,7639
5/19/2012,2,0,6,0,1,8294
5/20/2012,2,0,0,0,1,7129
5/21/2012,2,0,1,1,2,4359
5/22/2012,2,0,2,1,2,6073
5/23/2012,2,0,3,1,2,5260
5/24/2012,2,0,4,1,1,6770
5/25/2012,2,0,5,1,1,6734
5/26/2012,2,0,6,0,1,6536
5/27/2012,2,0,0,0,1,6591
5/28/2012,2,1,1,0,1,6043
5/29/2012,2,0,2,1,1,5743
5/30/2012,2,0,3,1,2,6855
5/31/2012,2,0,4,1,1,7338
6/1/2012,2,0,5,1,2,4127
6/2/2012,2,0,6,0,1,8120
6/3/2012,2,0,0,0,1,7641
6/4/2012,2,0,1,1,1,6998
6/5/2012,2,0,2,1,2,7001
6/6/2012,2,0,3,1,1,7055
6/7/2012,2,0,4,1,1,7494
6/8/2012,2,0,5,1,1,7736
6/9/2012,2,0,6,0,1,7498
6/10/2012,2,0,0,0,1,6598
6/11/2012,2,0,1,1,2,6664
6/12/2012,2,0,2,1,2,4972
6/13/2012,2,0,3,1,1,7421
6/14/2012,2,0,4,1,1,7363
6/15/2012,2,0,5,1,1,7665
6/16/2012,2,0,6,0,1,7702
6/17/2012,2,0,0,0,1,6978
6/18/2012,2,0,1,1,2,5099
6/19/2012,2,0,2,1,1,6825
6/20/2012,2,0,3,1,1,6211
6/21/2012,3,0,4,1,1,5905
6/22/2012,3,0,5,1,1,5823
6/23/2012,3,0,6,0,1,7458
6/24/2012,3,0,0,0,1,6891
6/25/2012,3,0,1,1,1,6779
6/26/2012,3,0,2,1,1,7442
6/27/2012,3,0,3,1,1,7335
6/28/2012,3,0,4,1,1,6879
6/29/2012,3,0,5,1,1,5463
6/30/2012,3,0,6,0,1,5687
7/1/2012,3,0,0,0,1,5531
7/2/2012,3,0,1,1,1,6227
7/3/2012,3,0,2,1,1,6660
7/4/2012,3,1,3,0,1,7403
7/5/2012,3,0,4,1,1,6241
7/6/2012,3,0,5,1,1,6207
7/7/2012,3,0,6,0,1,4840
7/8/2012,3,0,0,0,1,4672
7/9/2012,3,0,1,1,2,6569
7/10/2012,3,0,2,1,2,6290
7/11/2012,3,0,3,1,1,7264
7/12/2012,3,0,4,1,1,7446
7/13/2012,3,0,5,1,2,7499
7/14/2012,3,0,6,0,2,6969
7/15/2012,3,0,0,0,1,6031
7/16/2012,3,0,1,1,1,6830
7/17/2012,3,0,2,1,1,6786
7/18/2012,3,0,3,1,1,5713
7/19/2012,3,0,4,1,1,6591
7/20/2012,3,0,5,1,2,5870
7/21/2012,3,0,6,0,3,4459
7/22/2012,3,0,0,0,2,7410
7/23/2012,3,0,1,1,1,6966
7/24/2012,3,0,2,1,1,7592
7/25/2012,3,0,3,1,1,8173
7/26/2012,3,0,4,1,1,6861
7/27/2012,3,0,5,1,1,6904
7/28/2012,3,0,6,0,1,6685
7/29/2012,3,0,0,0,1,6597
7/30/2012,3,0,1,1,1,7105
7/31/2012,3,0,2,1,1,7216
8/1/2012,3,0,3,1,1,7580
8/2/2012,3,0,4,1,1,7261
8/3/2012,3,0,5,1,2,7175
8/4/2012,3,0,6,0,1,6824
8/5/2012,3,0,0,0,1,5464
8/6/2012,3,0,1,1,2,7013
8/7/2012,3,0,2,1,2,7273
8/8/2012,3,0,3,1,2,7534
8/9/2012,3,0,4,1,1,7286
8/10/2012,3,0,5,1,2,5786
8/11/2012,3,0,6,0,2,6299
8/12/2012,3,0,0,0,1,6544
8/13/2012,3,0,1,1,1,6883
8/14/2012,3,0,2,1,1,6784
8/15/2012,3,0,3,1,1,7347
8/16/2012,3,0,4,1,1,7605
8/17/2012,3,0,5,1,1,7148
8/18/2012,3,0,6,0,1,7865
8/19/2012,3,0,0,0,2,4549
8/20/2012,3,0,1,1,2,6530
8/21/2012,3,0,2,1,1,7006
8/22/2012,3,0,3,1,1,7375
8/23/2012,3,0,4,1,1,7765
8/24/2012,3,0,5,1,2,7582
8/25/2012,3,0,6,0,2,6053
8/26/2012,3,0,0,0,2,5255
8/27/2012,3,0,1,1,1,6917
8/28/2012,3,0,2,1,1,7040
8/29/2012,3,0,3,1,1,7697
8/30/2012,3,0,4,1,1,7713
8/31/2012,3,0,5,1,1,7350
9/1/2012,3,0,6,0,2,6140
9/2/2012,3,0,0,0,2,5810
9/3/2012,3,1,1,0,1,6034
9/4/2012,3,0,2,1,1,6864
9/5/2012,3,0,3,1,1,7112
9/6/2012,3,0,4,1,2,6203
9/7/2012,3,0,5,1,1,7504
9/8/2012,3,0,6,0,2,5976
9/9/2012,3,0,0,0,1,8227
9/10/2012,3,0,1,1,1,7525
9/11/2012,3,0,2,1,1,7767
9/12/2012,3,0,3,1,1,7870
9/13/2012,3,0,4,1,1,7804
9/14/2012,3,0,5,1,1,8009
9/15/2012,3,0,6,0,1,8714
9/16/2012,3,0,0,0,1,7333
9/17/2012,3,0,1,1,2,6869
9/18/2012,3,0,2,1,2,4073
9/19/2012,3,0,3,1,1,7591
9/20/2012,3,0,4,1,1,7720
9/21/2012,3,0,5,1,1,8167
9/22/2012,3,0,6,0,1,8395
9/23/2012,4,0,0,0,1,7907
9/24/2012,4,0,1,1,1,7436
9/25/2012,4,0,2,1,1,7538
9/26/2012,4,0,3,1,1,7733
9/27/2012,4,0,4,1,2,7393
9/28/2012,4,0,5,1,2,7415
9/29/2012,4,0,6,0,1,8555
9/30/2012,4,0,0,0,1,6889
10/1/2012,4,0,1,1,2,6778
10/2/2012,4,0,2,1,3,4639
10/3/2012,4,0,3,1,2,7572
10/4/2012,4,0,4,1,2,7328
10/5/2012,4,0,5,1,1,8156
10/6/2012,4,0,6,0,1,7965
10/7/2012,4,0,0,0,2,3510
10/8/2012,4,1,1,0,2,5478
10/9/2012,4,0,2,1,2,6392
10/10/2012,4,0,3,1,1,7691
10/11/2012,4,0,4,1,1,7570
10/12/2012,4,0,5,1,1,7282
10/13/2012,4,0,6,0,1,7109
10/14/2012,4,0,0,0,1,6639
10/15/2012,4,0,1,1,2,5875
10/16/2012,4,0,2,1,1,7534
10/17/2012,4,0,3,1,1,7461
10/18/2012,4,0,4,1,2,7509
10/19/2012,4,0,5,1,2,5424
10/20/2012,4,0,6,0,1,8090
10/21/2012,4,0,0,0,1,6824
10/22/2012,4,0,1,1,1,7058
10/23/2012,4,0,2,1,1,7466
10/24/2012,4,0,3,1,1,7693
10/25/2012,4,0,4,1,2,7359
10/26/2012,4,0,5,1,2,7444
10/27/2012,4,0,6,0,2,7852
10/28/2012,4,0,0,0,2,4459
10/29/2012,4,0,1,1,3,22
10/30/2012,4,0,2,1,2,1096
10/31/2012,4,0,3,1,2,5566
11/1/2012,4,0,4,1,2,5986
11/2/2012,4,0,5,1,1,5847
11/3/2012,4,0,6,0,2,5138
11/4/2012,4,0,0,0,1,5107
11/5/2012,4,0,1,1,1,5259
11/6/2012,4,0,2,1,1,5686
11/7/2012,4,0,3,1,2,5035
11/8/2012,4,0,4,1,1,5315
11/9/2012,4,0,5,1,1,5992
11/10/2012,4,0,6,0,1,6536
11/11/2012,4,0,0,0,1,6852
11/12/2012,4,1,1,0,1,6269
11/13/2012,4,0,2,1,2,4094
11/14/2012,4,0,3,1,1,5495
11/15/2012,4,0,4,1,2,5445
11/16/2012,4,0,5,1,1,5698
11/17/2012,4,0,6,0,1,5629
11/18/2012,4,0,0,0,1,4669
11/19/2012,4,0,1,1,2,5499
11/20/2012,4,0,2,1,2,5634
11/21/2012,4,0,3,1,1,5146
11/22/2012,4,1,4,0,1,2425
11/23/2012,4,0,5,1,1,3910
11/24/2012,4,0,6,0,1,2277
11/25/2012,4,0,0,0,1,2424
11/26/2012,4,0,1,1,1,5087
11/27/2012,4,0,2,1,2,3959
11/28/2012,4,0,3,1,1,5260
