call_no,incident_type,type_description,address,alarm_time,alarms,primary_unit,census_tract,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
F180024648,113,"Cooking fire, confined to container","200 BLOCK LOTHROP ST, PITTSBURGH PA 15213",2018-03-22T17:23:01,1,231EN10,402,West Oakland,8,4,42003040200,3,4,4,14-Feb,40.44173012,-79.96109344
F180024712,151,"Outside rubbish, trash or waste fire","800 BLOCK E CARSON ST, PITTSBURGH PA 15203",2018-03-23T00:01:41,0,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,2-Apr,40.42765454,-79.99075428
F180024719,113,"Cooking fire, confined to container","200 BLOCK ELMORE ST, PITTSBURGH PA 15219",2018-03-23T01:19:54,1,231EN04,511,Terrace Village,6,5,42003051100,3,5,2,1-Feb,40.44181467,-79.97534609
F180024731,111,Building fire,"100 BLOCK TECUMSEH ST, PITTSBURGH PA 15207",2018-03-23T04:49:45,1,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40861174,-79.94313508
F180024767,100,"Fire, Other","3200 BLOCK PARKVIEW AVE, PITTSBURGH PA 15213",2018-03-23T07:57:02,1,231EN04,409,South Oakland,3,4,42003040900,3,4,4,11-Feb,40.42941716,-79.95371155
F130088711,113,"Cooking fire, confined to container","1000 BLOCK FINDLEY DR, PITTSBURGH PA 15221",2013-12-12T22:58:00,1,231EN16,NA,,,,42003561400,,,,20-Mar,40.44537306,-79.86535725
F180024839,116,"Fuel burner/boiler malfunction, fire confined","3300 BLOCK SAVOY ST, PITTSBURGH PA 15212",2018-03-23T12:06:26,1,231EN35,2703,Brighton Heights,1,27,42003270300,1,27,1,14-Jan,40.47544564,-80.03704566
F180024881,111,Building fire,"700 BLOCK SINGER PL, PITTSBURGH PA 15208",2018-03-23T15:06:03,1,231EN17,1306,East Hills,9,13,42003130600,2,13,5,17-Mar,40.45304756,-79.88384977
F180025092,113,"Cooking fire, confined to container","1400 BLOCK CLAIM ST, PITTSBURGH PA 15212",2018-03-24T13:43:17,1,231EN32,2406,Troy Hill,1,24,42003240600,1,24,1,2-Jan,40.46315035,-79.98303375
F180025163,152,Garbage dump or sanitary landfill fire,"3600 BLOCK WINDGAP AVE, PITTSBURGH PA 15205",2018-03-24T18:42:24,0,231EN31,2808,Windgap,2,28,42003563000,5,28,6,16-Jan,40.45355682,-80.07770269
F180025177,113,"Cooking fire, confined to container","300 BLOCK JOHNSTON AVE, PITTSBURGH PA 15207",2018-03-24T20:06:14,1,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40639491,-79.93970485
F180025384,113,"Cooking fire, confined to container","5200 BLOCK 5TH AVE, PITTSBURGH PA 15232",2018-03-25T17:03:08,1,231EN18,703,Squirrel Hill North,8,14,42003140100,3,14,4,26-Feb,40.44774262,-79.93722233
F180025613,118,"Trash or rubbish fire, contained","100 BLOCK KNOX AVE, PITTSBURGH PA 15210",2018-03-26T14:28:33,1,231EN22,3001,Knoxville,3,30,42003300100,4,30,3,6-Apr,40.41555294,-79.99064494
F180025682,160,"Special outside fire, Other","BUTLER ST & 54TH ST, PITTSBURGH PA 15201",2018-03-26T18:10:31,0,231EN07,1011,Upper Lawrenceville,7,10,42003101100,2,10,2,5-Mar,40.48285507,-79.95121336
F180025711,151,"Outside rubbish, trash or waste fire","WIESE ST & CLOVER ST, PITTSBURGH PA 15210",2018-03-26T20:49:18,1,231EN22,1603,Arlington,3,16,42003561600,4,16,3,8-Apr,40.41480109,-79.97180923
F180025726,151,"Outside rubbish, trash or waste fire","RIVER AVE & WARFIELD ST, PITTSBURGH PA 15212",2018-03-26T22:29:27,0,231EN32,2205,North Shore,1,23,42003563200,6,23,1,20-Jan,40.45120024,-79.99373808
F170043961,131,Passenger vehicle fire,"SPARTA ST & WALBRIDGE ST, PITTSBURGH PA 15220",2017-06-01T16:50:09,0,231EN30,2020,Elliott,2,20,42003562600,5,20,6,17-Jan,40.438818,-80.03710657
F180026308,111,Building fire,"1500 BLOCK ARLINGTON AVE, PITTSBURGH PA 15210",2018-03-28T22:25:19,1,231EN22,1803,Allentown,3,18,42003180300,4,18,3,6-Apr,40.41918031,-79.98930113
F180026869,111,Building fire,"1600 BLOCK MOUNT JOSEPH ST, PITTSBURGH PA 15210",2018-03-30T22:44:01,2,231EN23,2901,Carrick,4,29,42003290100,4,29,3,23-Apr,40.39951605,-79.9920675
F180027123,111,Building fire,"600 BLOCK LAUGHLIN AVE, PITTSBURGH PA 15210",2018-03-31T21:18:56,1,231EN22,2902,Carrick,4,29,42003290200,4,29,3,12-Apr,40.40485076,-79.97971458
F180026722,151,"Outside rubbish, trash or waste fire","2400 BLOCK BURHAM ST, PITTSBURGH PA 15203",2018-03-30T10:19:24,0,231EN22,1608,South Side Slopes,3,16,42003160800,4,16,3,22-Apr,40.42120804,-79.97241558
F180027069,130,"Mobile property (vehicle) fire, Other","MURRAY AVE & FORWARD AVE, PITTSBURGH PA 15217",2018-03-31T16:50:02,0,231EN18,1413,Squirrel Hill South,5,14,42003141400,3,14,4,21-Feb,40.42973793,-79.92348532
F180026043,162,Outside equipment fire,"FRIENDSHIP AVE & S ATLANTIC, PITTSBURGH PA 15224",2018-03-28T07:25:00,0,231EN08,806,Bloomfield,7,8,42003080600,2,8,5,23-Mar,40.46199648,-79.93895142
F180027134,151,"Outside rubbish, trash or waste fire","400 BLOCK SUNCREST ST, PITTSBURGH PA 15210",2018-03-31T21:50:31,0,231EN26,3001,Knoxville,3,30,42003300100,4,30,3,7-Apr,40.41118154,-79.99498903
F180028507,154,Dumpster or other outside trash receptacle fire,"S MATHILDA ST & FRIENDSHIP AV, PITTSBURGH PA 15224",2018-04-05T09:30:01,0,231EN06,809,Bloomfield,7,8,42003080900,2,8,5,6-Mar,40.46278684,-79.94682672
F180028468,100,"Fire, Other","1200 BLOCK SARAH ST, PITTSBURGH PA 15203",2018-04-05T07:13:23,0,231EN24,1702,South Side Flats,3,17,42003170200,4,17,3,24-Apr,40.42753442,-79.98622543
F180027126,113,"Cooking fire, confined to container","1000 BLOCK FINDLEY DR, WILKINSBURG PA 15221",2018-03-31T21:28:35,1,231EN16,NA,,,,42003561400,,,,20-Mar,40.44537306,-79.86535725
F160016903,111,Building fire,"400 BLOCK S TRENTON AVE, WILKINSBURG PA 15221",2016-03-03T20:57:26,1,231EN16,NA,,,,42003560400,,,,16-Mar,40.44333012,-79.89231673
F180028030,111,Building fire,"00 BLOCK PPG PL, PITTSBURGH PA 15219",2018-04-04T02:32:13,1,231EN04,201,Central Business District,6,1,42003020100,6,1,2,4-Jan,40.43998425,-80.00291135
F180028337,113,"Cooking fire, confined to container","2100 BLOCK PERRYSVILLE AVE, PITTSBURGH PA 15214",2018-04-04T17:12:01,1,231EN38,2614,Perry South,6,25,42003261400,1,25,1,10-Jan,40.46362898,-80.01223966
F160072248,131,Passenger vehicle fire,"1700 BLOCK BUENA VISTA ST, PITTSBURGH PA 15212",2016-09-10T23:14:30,0,231EN37,2503,Central Northside,6,25,42003250300,1,25,1,21-Jan,40.45873864,-80.01489173
F180028957,113,"Cooking fire, confined to container","7100 BLOCK PENN AVE, PITTSBURGH PA 15221",2018-04-06T20:12:22,1,231EN17,1406,Point Breeze,9,14,42003140600,3,14,4,14-Mar,40.44993485,-79.90375262
F170044045,143,Grass fire,"200 BLOCK COPPERFIELD AVE, PITTSBURGH PA 15210",2017-06-01T23:05:45,0,231EN23,2901,Carrick,4,29,42003290100,4,29,3,23-Apr,40.3955286,-79.98997988
F130088763,111,Building fire,"4600 BLOCK FRIENDSHIP AVE, PITTSBURGH PA 15224",2013-12-13T08:37:43,2,231EN06,903,Bloomfield,7,9,42003090300,2,9,5,6-Mar,40.46440656,-79.95042441
F130088845,118,"Trash or rubbish fire, contained","100 BLOCK TECUMSEH ST, PITTSBURGH PA 15207",2013-12-13T13:52:19,1,231EN13,1515,Hazelwood,5,15,42003562300,3,15,4,13-Feb,40.40861174,-79.94313508
F170044121,154,Dumpster or other outside trash receptacle fire,"4800 BLOCK FRIENDSHIP AVE, PITTSBURGH PA 15224",2017-06-02T09:28:58,0,231EN06,809,Bloomfield,7,8,42003080900,2,8,5,6-Mar,40.46126376,-79.9463628
F130088886,118,"Trash or rubbish fire, contained","3200 BLOCK FARONIA ST, PITTSBURGH PA 15204",2013-12-13T16:23:11,1,231EN31,2022,Sheraden,2,20,42003202200,5,20,6,16-Jan,40.45160189,-80.06635734
F130088904,111,Building fire,"7000 BLOCK KEDRON ST, PITTSBURGH PA 15208",2013-12-13T17:31:03,1,231EN15,1301,Homewood North,9,13,42003130100,2,13,5,18-Mar,40.46174524,-79.89962815
F130088960,151,"Outside rubbish, trash or waste fire","10TH BLOCK ST BRG & 2ND AVE, PITTSBURGH PA 15219",2013-12-13T20:31:08,0,231EN04,103,Bluff,6,1,42003010300,3,1,2,4-Feb,40.4344804,-79.98981938
F170044244,160,"Special outside fire, Other","2700 BLOCK SARAH ST, PITTSBURGH PA 15203",2017-06-02T19:47:56,1,231EN24,1609,South Side Flats,3,16,42003160900,4,16,3,24-Apr,40.42615341,-79.96747446
F160073450,131,Passenger vehicle fire,"S FAIRMOUNT ST & ROUP AVE, PITTSBURGH PA 15206",2016-09-15T06:58:55,0,231EN08,807,Friendship,7,8,42003080700,2,8,5,23-Mar,40.45933126,-79.93548941
F160016911,114,"Chimney or flue fire, confined to chimney or flue","3800 BLOCK WILKSBORO AVE, PITTSBURGH PA 15219",2016-03-03T21:53:11,1,231EN35,2701,Brighton Heights,1,27,42003270100,1,27,1,14-Jan,40.48335395,-80.04681225
F150016908,111,Building fire,"3200 BLOCK STAFFORD ST, PITTSBURGH PA 15204",2015-03-02T13:38:11,1,231EN31,2018,Sheraden,2,20,42003562500,5,20,6,16-Jan,40.45912828,-80.05301127
F150087337,111,Building fire,"1500 BLOCK ROCKLAND AVE, PITTSBURGH PA 15216",2015-11-05T12:06:46,1,231EN28,1916,Beechview,4,19,42003191600,5,19,6,28-Apr,40.41203023,-80.0203645
F160013115,111,Building fire,"5100 BLOCK ROSETTA ST, PITTSBURGH PA 15206",2016-02-18T18:43:05,1,231EN08,1017,Garfield,9,10,42003101700,2,10,5,4-Mar,40.46792867,-79.94212538
F170044397,131,Passenger vehicle fire,"700 BLOCK EUREKA ST, PITTSBURGH PA 15211",2017-06-03T11:06:28,0,231EN27,1803,Allentown,3,18,42003180300,4,18,3,5-Apr,40.42366468,-79.99579579
F130089055,113,"Cooking fire, confined to container","00 BLOCK GASKEL ST, PITTSBURGH PA 15211",2013-12-14T09:37:37,1,231EN27,1914,Mount Washington,2,19,42003191400,5,19,3,27-Apr,40.42978374,-80.0095497
